充電器グループID,施設ID,施設名,モデル,カテゴリー,利用月,日数,台数,稼働開始日,稼働終了日(手動),稼働時間(分),利用人数,利用回数,稼働率,1人あたりの利用分数,1回あたりの利用分数,平均利用頻度,ブランド,運営会社
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-1月,31.0,1.0,2023/06/20,,3213.6833,1,2,7.1991,3213.6833,1606.8417,2.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-2月,28.0,1.0,2023/06/20,,5.65,1,2,0.014,5.65,2.825,2.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-3月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-4月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-5月,31.0,1.0,2023/06/20,,152.1,1,1,0.3407,152.1,152.1,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-6月,30.0,1.0,2023/06/20,,199.1167,2,2,0.4609,99.5583,99.5583,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-7月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-8月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-9月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-10月,31.0,1.0,2023/06/20,,126.2,1,1,0.2827,126.2,126.2,1.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-11月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2025-12月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-1月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-2月,28.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-3月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-4月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-5月,31.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
15,20,郷土資料館・旧新井家住宅,普通,目的地,2026-6月,30.0,1.0,2023/06/20,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2022-9月,30.0,1.0,2022/09/09,,34.2167,1,5,0.0792,34.2167,6.8433,5.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2022-10月,31.0,1.0,2022/09/09,,146.9667,2,2,0.3292,73.4833,73.4833,1.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2022-11月,30.0,1.0,2022/09/09,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2022-12月,31.0,1.0,2022/09/09,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2023-1月,31.0,1.0,2022/09/09,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
17,22,町営森の駐車場（小布施町）,普通,目的地,2023-2月,28.0,1.0,2022/09/09,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
